Date,Year,All,16-24,25-54,55-64,65+,Less than HS,High school,Some college,Bachelor's degree,Advanced degree,Women,Women 16-24,Women 25-54,Women 55-64,Women 65+,Women Less than HS,Women High school,Women Some college,Women Bachelor's degree,Women Advanced degree,Men,Men 16-24,Men 25-54,Men 55-64,Men 65+,Men Less than HS,Men High school,Men Some college,Men Bachelor's degree,Men Advanced degree,Black,Black 16-24,Black 25-54,Black 55-64,Black 65+,Black Less than HS,Black High school,Black Some college,Black Bachelor's degree,Black Advanced degree,Black Women,Black Women 16-24,Black Women 25-54,Black Women 55-64,Black Women 65+,Black Women Less than HS,Black Women High school,Black Women Some college,Black Women Bachelor's degree,Black Women Advanced degree,Black Men,Black Men 16-24,Black Men 25-54,Black Men 55-64,Black Men 65+,Black Men Less than HS,Black Men High school,Black Men Some college,Black Men Bachelor's degree,Black Men Advanced degree,Hispanic,Hispanic 16-24,Hispanic 25-54,Hispanic 55-64,Hispanic 65+,Hispanic Less than HS,Hispanic High school,Hispanic Some college,Hispanic Bachelor's degree,Hispanic Advanced degree,Hispanic Women,Hispanic Women 16-24,Hispanic Women 25-54,Hispanic Women 55-64,Hispanic Women 65+,Hispanic Women Less than HS,Hispanic Women High school,Hispanic Women Some college,Hispanic Women Bachelor's degree,Hispanic Women Advanced degree,Hispanic Men,Hispanic Men 16-24,Hispanic Men 25-54,Hispanic Men 55-64,Hispanic Men 65+,Hispanic Men Less than HS,Hispanic Men High school,Hispanic Men Some college,Hispanic Men Bachelor's degree,Hispanic Men Advanced degree,White,White 16-24,White 25-54,White 55-64,White 65+,White Less than HS,White High school,White Some college,White Bachelor's degree,White Advanced degree,White Women,White Women 16-24,White Women 25-54,White Women 55-64,White Women 65+,White Women Less than HS,White Women High school,White Women Some college,White Women Bachelor's degree,White Women Advanced degree,White Men,White Men 16-24,White Men 25-54,White Men 55-64,White Men 65+,White Men Less than HS,White Men High school,White Men Some college,White Men Bachelor's degree,White Men Advanced degree
21-Feb,2021,0.15,0.25,0.13,0.12,0.14,0.25,0.18,0.16,0.11,0.07,0.15,0.24,0.13,0.13,0.15,0.27,0.19,0.16,0.12,0.08,0.14,0.26,0.13,0.12,0.13,0.23,0.18,0.15,0.1,0.07,0.2,0.34,0.18,0.15,0.19,0.33,0.26,0.19,0.13,0.09,0.18,0.31,0.17,0.15,0.17,0.31,0.25,0.19,0.12,0.08,0.21,0.37,0.19,0.15,0.2,0.36,0.26,0.19,0.14,0.1,0.2,0.29,0.18,0.19,0.19,0.25,0.22,0.19,0.15,0.09,0.21,0.29,0.19,0.19,0.21,0.3,0.24,0.2,0.16,0.08,0.19,0.29,0.17,0.18,0.18,0.22,0.2,0.18,0.14,0.1,0.12,0.21,0.11,0.11,0.12,0.21,0.15,0.13,0.1,0.07,0.12,0.21,0.11,0.11,0.13,0.21,0.16,0.14,0.11,0.07,0.12,0.21,0.1,0.1,0.12,0.21,0.14,0.13,0.09,0.07
21-Jan,2021,0.14,0.25,0.13,0.12,0.13,0.24,0.18,0.15,0.1,0.07,0.15,0.24,0.13,0.13,0.14,0.26,0.19,0.16,0.11,0.07,0.14,0.25,0.12,0.12,0.13,0.23,0.17,0.14,0.1,0.07,0.19,0.33,0.17,0.14,0.18,0.33,0.25,0.19,0.12,0.08,0.18,0.31,0.16,0.14,0.16,0.3,0.25,0.19,0.11,0.08,0.2,0.36,0.18,0.14,0.2,0.36,0.25,0.19,0.13,0.1,0.19,0.28,0.17,0.18,0.18,0.24,0.21,0.19,0.14,0.09,0.2,0.29,0.18,0.19,0.2,0.29,0.23,0.19,0.15,0.08,0.18,0.28,0.16,0.18,0.17,0.22,0.2,0.18,0.13,0.1,0.12,0.21,0.1,0.1,0.12,0.21,0.14,0.13,0.09,0.07,0.12,0.2,0.11,0.11,0.13,0.21,0.15,0.14,0.1,0.07,0.11,0.21,0.1,0.1,0.12,0.2,0.14,0.12,0.08,0.07
20-Dec,2020,0.14,0.24,0.12,0.12,0.13,0.23,0.17,0.15,0.1,0.07,0.14,0.24,0.13,0.12,0.14,0.25,0.19,0.15,0.11,0.07,0.13,0.25,0.12,0.11,0.13,0.22,0.17,0.14,0.09,0.07,0.19,0.33,0.17,0.14,0.17,0.32,0.25,0.18,0.12,0.08,0.18,0.31,0.16,0.14,0.15,0.29,0.24,0.18,0.11,0.07,0.2,0.36,0.18,0.14,0.2,0.36,0.25,0.18,0.12,0.09,0.19,0.28,0.17,0.17,0.18,0.24,0.2,0.18,0.14,0.09,0.2,0.28,0.18,0.18,0.2,0.28,0.23,0.19,0.15,0.08,0.18,0.27,0.16,0.17,0.16,0.21,0.19,0.17,0.13,0.09,0.11,0.2,0.1,0.1,0.12,0.2,0.14,0.13,0.09,0.07,0.12,0.2,0.1,0.11,0.12,0.21,0.15,0.13,0.1,0.07,0.11,0.2,0.1,0.09,0.11,0.2,0.13,0.12,0.08,0.07
20-Nov,2020,0.13,0.24,0.12,0.11,0.13,0.23,0.17,0.14,0.1,0.07,0.14,0.23,0.12,0.12,0.13,0.24,0.18,0.15,0.11,0.07,0.13,0.24,0.12,0.11,0.12,0.22,0.16,0.13,0.09,0.07,0.18,0.33,0.16,0.13,0.17,0.32,0.24,0.18,0.11,0.08,0.17,0.3,0.15,0.13,0.15,0.28,0.24,0.18,0.11,0.07,0.19,0.35,0.17,0.13,0.19,0.35,0.24,0.18,0.12,0.09,0.18,0.27,0.16,0.17,0.17,0.23,0.19,0.17,0.13,0.08,0.19,0.28,0.17,0.17,0.19,0.26,0.22,0.19,0.14,0.08,0.17,0.27,0.15,0.16,0.16,0.21,0.18,0.16,0.12,0.09,0.11,0.2,0.1,0.1,0.11,0.2,0.14,0.12,0.09,0.07,0.11,0.2,0.1,0.11,0.12,0.2,0.15,0.13,0.1,0.07,0.11,0.2,0.09,0.09,0.11,0.19,0.13,0.11,0.08,0.06
20-Oct,2020,0.13,0.23,0.12,0.11,0.12,0.22,0.16,0.14,0.09,0.07,0.13,0.23,0.12,0.11,0.13,0.24,0.18,0.14,0.1,0.07,0.13,0.24,0.11,0.1,0.12,0.21,0.16,0.13,0.09,0.07,0.18,0.32,0.16,0.13,0.16,0.32,0.23,0.17,0.11,0.07,0.17,0.29,0.15,0.13,0.15,0.28,0.23,0.17,0.1,0.07,0.19,0.35,0.16,0.12,0.18,0.36,0.23,0.17,0.11,0.09,0.17,0.27,0.15,0.16,0.17,0.22,0.19,0.17,0.13,0.08,0.19,0.27,0.17,0.17,0.19,0.26,0.21,0.18,0.14,0.08,0.16,0.26,0.14,0.16,0.16,0.2,0.17,0.15,0.11,0.09,0.11,0.19,0.09,0.09,0.11,0.19,0.13,0.12,0.08,0.06,0.11,0.19,0.1,0.1,0.12,0.2,0.14,0.12,0.09,0.06,0.1,0.2,0.09,0.09,0.11,0.19,0.13,0.11,0.08,0.06
20-Sep,2020,0.13,0.23,0.11,0.1,0.12,0.22,0.16,0.13,0.09,0.07,0.13,0.22,0.12,0.11,0.12,0.23,0.17,0.14,0.1,0.07,0.12,0.23,0.11,0.1,0.11,0.21,0.15,0.12,0.08,0.06,0.17,0.31,0.15,0.12,0.16,0.31,0.22,0.16,0.1,0.07,0.16,0.28,0.14,0.13,0.14,0.26,0.22,0.17,0.1,0.07,0.18,0.35,0.16,0.12,0.17,0.36,0.22,0.16,0.11,0.08,0.17,0.26,0.15,0.15,0.17,0.21,0.18,0.16,0.12,0.08,0.18,0.27,0.16,0.16,0.18,0.25,0.2,0.18,0.13,0.08,0.16,0.26,0.14,0.15,0.16,0.19,0.17,0.15,0.11,0.09,0.1,0.19,0.09,0.09,0.11,0.19,0.13,0.11,0.08,0.06,0.11,0.19,0.09,0.1,0.11,0.19,0.14,0.12,0.09,0.06,0.1,0.19,0.09,0.08,0.1,0.19,0.12,0.1,0.07,0.06
20-Aug,2020,0.12,0.22,0.11,0.1,0.11,0.21,0.15,0.13,0.09,0.06,0.12,0.21,0.11,0.11,0.12,0.22,0.16,0.13,0.09,0.06,0.12,0.23,0.1,0.09,0.11,0.2,0.14,0.12,0.08,0.06,0.16,0.3,0.14,0.12,0.15,0.3,0.21,0.16,0.1,0.07,0.15,0.27,0.14,0.12,0.14,0.26,0.21,0.16,0.1,0.06,0.17,0.34,0.15,0.11,0.16,0.35,0.21,0.16,0.1,0.08,0.16,0.25,0.14,0.14,0.16,0.2,0.17,0.15,0.12,0.08,0.17,0.26,0.16,0.15,0.17,0.24,0.19,0.17,0.13,0.07,0.15,0.25,0.13,0.14,0.15,0.18,0.16,0.14,0.1,0.09,0.1,0.19,0.09,0.09,0.1,0.18,0.13,0.11,0.08,0.06,0.1,0.18,0.09,0.09,0.11,0.19,0.13,0.12,0.09,0.06,0.1,0.19,0.08,0.08,0.1,0.18,0.12,0.1,0.07,0.06
20-Jul,2020,0.11,0.21,0.1,0.09,0.11,0.2,0.14,0.12,0.08,0.06,0.12,0.21,0.11,0.1,0.11,0.21,0.16,0.13,0.09,0.06,0.11,0.22,0.1,0.09,0.1,0.19,0.14,0.11,0.07,0.06,0.15,0.29,0.14,0.11,0.14,0.29,0.2,0.15,0.09,0.07,0.15,0.26,0.13,0.11,0.13,0.25,0.2,0.15,0.09,0.06,0.17,0.33,0.14,0.1,0.15,0.33,0.2,0.15,0.09,0.08,0.15,0.25,0.13,0.13,0.15,0.19,0.16,0.15,0.11,0.08,0.17,0.25,0.15,0.14,0.16,0.23,0.19,0.16,0.12,0.07,0.14,0.24,0.12,0.13,0.15,0.17,0.15,0.13,0.09,0.08,0.09,0.18,0.08,0.08,0.1,0.18,0.12,0.1,0.07,0.06,0.1,0.18,0.09,0.09,0.1,0.18,0.13,0.11,0.08,0.06,0.09,0.19,0.08,0.08,0.09,0.17,0.11,0.1,0.07,0.06
20-Jun,2020,0.11,0.2,0.09,0.09,0.1,0.19,0.14,0.11,0.07,0.06,0.11,0.19,0.1,0.09,0.1,0.2,0.15,0.12,0.08,0.06,0.1,0.21,0.09,0.08,0.1,0.18,0.13,0.1,0.07,0.05,0.15,0.28,0.13,0.1,0.13,0.28,0.19,0.14,0.08,0.06,0.14,0.25,0.12,0.1,0.12,0.25,0.19,0.13,0.08,0.06,0.16,0.31,0.14,0.09,0.14,0.32,0.19,0.14,0.08,0.07,0.14,0.23,0.12,0.12,0.14,0.18,0.15,0.13,0.1,0.07,0.15,0.23,0.14,0.13,0.14,0.21,0.17,0.14,0.11,0.06,0.13,0.23,0.11,0.12,0.14,0.16,0.14,0.12,0.09,0.07,0.09,0.17,0.08,0.08,0.09,0.17,0.11,0.09,0.07,0.05,0.09,0.17,0.08,0.08,0.09,0.18,0.12,0.1,0.07,0.05,0.09,0.18,0.07,0.07,0.09,0.17,0.11,0.09,0.06,0.05
20-May,2020,0.1,0.19,0.08,0.08,0.09,0.17,0.13,0.1,0.07,0.05,0.1,0.18,0.09,0.08,0.09,0.19,0.13,0.1,0.07,0.05,0.09,0.19,0.08,0.07,0.09,0.16,0.12,0.09,0.06,0.05,0.13,0.26,0.12,0.09,0.12,0.27,0.18,0.12,0.07,0.05,0.13,0.23,0.11,0.1,0.11,0.25,0.18,0.12,0.07,0.05,0.14,0.29,0.12,0.09,0.13,0.3,0.18,0.13,0.08,0.06,0.13,0.21,0.11,0.11,0.13,0.17,0.14,0.12,0.09,0.06,0.14,0.21,0.12,0.12,0.14,0.2,0.16,0.13,0.1,0.06,0.12,0.21,0.1,0.1,0.13,0.15,0.12,0.11,0.08,0.06,0.08,0.16,0.07,0.07,0.08,0.16,0.11,0.09,0.06,0.05,0.08,0.15,0.07,0.07,0.08,0.16,0.11,0.09,0.06,0.05,0.08,0.17,0.07,0.06,0.08,0.16,0.1,0.08,0.06,0.05
20-Apr,2020,0.09,0.17,0.07,0.07,0.08,0.16,0.11,0.08,0.06,0.04,0.09,0.16,0.08,0.07,0.08,0.17,0.12,0.09,0.06,0.05,0.08,0.18,0.07,0.06,0.08,0.15,0.11,0.08,0.05,0.04,0.12,0.25,0.1,0.08,0.11,0.25,0.17,0.11,0.07,0.05,0.11,0.22,0.1,0.09,0.1,0.23,0.16,0.11,0.06,0.05,0.13,0.28,0.11,0.08,0.12,0.27,0.17,0.11,0.07,0.05,0.11,0.19,0.09,0.1,0.12,0.15,0.12,0.1,0.07,0.05,0.12,0.19,0.11,0.1,0.13,0.18,0.14,0.11,0.08,0.05,0.1,0.19,0.08,0.09,0.11,0.13,0.11,0.09,0.06,0.05,0.07,0.15,0.06,0.06,0.07,0.15,0.09,0.07,0.05,0.04,0.07,0.14,0.06,0.06,0.07,0.15,0.1,0.08,0.05,0.04,0.07,0.16,0.06,0.06,0.07,0.14,0.09,0.07,0.05,0.04
20-Mar,2020,0.07,0.15,0.06,0.06,0.06,0.14,0.1,0.07,0.05,0.04,0.07,0.14,0.06,0.06,0.06,0.16,0.1,0.07,0.05,0.04,0.07,0.17,0.06,0.05,0.06,0.13,0.09,0.07,0.05,0.03,0.11,0.23,0.09,0.07,0.1,0.24,0.15,0.1,0.06,0.04,0.1,0.2,0.09,0.08,0.09,0.22,0.15,0.1,0.05,0.04,0.12,0.26,0.1,0.07,0.1,0.26,0.16,0.1,0.06,0.04,0.09,0.17,0.08,0.08,0.1,0.13,0.1,0.08,0.06,0.04,0.11,0.17,0.09,0.09,0.11,0.16,0.12,0.09,0.07,0.04,0.09,0.17,0.07,0.08,0.1,0.11,0.09,0.08,0.05,0.05,0.06,0.13,0.05,0.05,0.05,0.13,0.08,0.06,0.04,0.03,0.06,0.12,0.05,0.05,0.05,0.13,0.08,0.06,0.04,0.03,0.06,0.14,0.05,0.05,0.05,0.13,0.08,0.06,0.04,0.03
20-Feb,2020,0.07,0.15,0.06,0.05,0.06,0.14,0.1,0.07,0.05,0.03,0.07,0.14,0.06,0.06,0.06,0.15,0.1,0.07,0.05,0.04,0.07,0.16,0.06,0.05,0.06,0.13,0.09,0.07,0.05,0.03,0.11,0.23,0.09,0.07,0.1,0.24,0.15,0.1,0.06,0.04,0.1,0.2,0.09,0.08,0.1,0.22,0.14,0.09,0.05,0.04,0.12,0.26,0.1,0.06,0.1,0.26,0.16,0.1,0.06,0.04,0.09,0.17,0.08,0.08,0.1,0.13,0.1,0.08,0.06,0.04,0.1,0.16,0.09,0.09,0.11,0.16,0.12,0.09,0.07,0.04,0.08,0.17,0.07,0.07,0.1,0.11,0.09,0.07,0.06,0.04,0.06,0.13,0.05,0.05,0.05,0.13,0.08,0.06,0.04,0.03,0.06,0.11,0.05,0.05,0.05,0.13,0.08,0.06,0.04,0.03,0.06,0.14,0.05,0.05,0.05,0.13,0.08,0.06,0.04,0.03
20-Jan,2020,0.07,0.15,0.06,0.05,0.06,0.14,0.1,0.07,0.05,0.04,0.07,0.14,0.06,0.06,0.07,0.15,0.1,0.07,0.05,0.04,0.07,0.17,0.06,0.05,0.06,0.13,0.09,0.07,0.05,0.03,0.11,0.23,0.09,0.07,0.09,0.24,0.15,0.1,0.06,0.04,0.1,0.2,0.09,0.08,0.09,0.23,0.14,0.1,0.05,0.04,0.12,0.27,0.1,0.07,0.09,0.26,0.16,0.1,0.06,0.04,0.09,0.17,0.08,0.08,0.11,0.13,0.1,0.08,0.06,0.04,0.1,0.16,0.09,0.09,0.11,0.16,0.12,0.09,0.07,0.04,0.08,0.17,0.07,0.07,0.1,0.11,0.09,0.07,0.06,0.04,0.06,0.13,0.05,0.05,0.05,0.14,0.08,0.06,0.04,0.03,0.06,0.11,0.05,0.05,0.06,0.13,0.08,0.06,0.04,0.03,0.06,0.14,0.05,0.05,0.05,0.14,0.08,0.06,0.04,0.03
19-Dec,2019,0.07,0.15,0.06,0.06,0.06,0.14,0.1,0.07,0.05,0.04,0.07,0.14,0.06,0.06,0.07,0.16,0.1,0.07,0.05,0.04,0.07,0.17,0.06,0.05,0.06,0.13,0.09,0.07,0.05,0.03,0.11,0.23,0.09,0.07,0.09,0.25,0.15,0.1,0.06,0.04,0.1,0.2,0.09,0.07,0.1,0.24,0.14,0.1,0.05,0.04,0.12,0.27,0.1,0.07,0.08,0.26,0.16,0.1,0.06,0.04,0.09,0.17,0.08,0.08,0.11,0.13,0.1,0.08,0.07,0.04,0.1,0.16,0.09,0.09,0.11,0.16,0.12,0.09,0.07,0.04,0.09,0.17,0.07,0.07,0.1,0.11,0.09,0.07,0.06,0.05,0.06,0.13,0.05,0.05,0.06,0.14,0.08,0.06,0.04,0.03,0.06,0.11,0.05,0.05,0.06,0.14,0.08,0.06,0.04,0.04,0.06,0.14,0.05,0.05,0.06,0.14,0.08,0.06,0.04,0.03
19-Nov,2019,0.07,0.15,0.06,0.06,0.07,0.15,0.1,0.07,0.05,0.04,0.07,0.14,0.07,0.06,0.07,0.16,0.1,0.07,0.05,0.04,0.07,0.17,0.06,0.05,0.06,0.14,0.09,0.07,0.05,0.03,0.11,0.24,0.09,0.07,0.09,0.25,0.15,0.1,0.06,0.04,0.1,0.2,0.09,0.08,0.09,0.24,0.14,0.1,0.05,0.04,0.12,0.28,0.1,0.07,0.09,0.27,0.16,0.1,0.06,0.04,0.09,0.17,0.08,0.08,0.11,0.13,0.1,0.08,0.07,0.04,0.1,0.16,0.09,0.09,0.11,0.16,0.12,0.09,0.07,0.04,0.09,0.18,0.07,0.07,0.11,0.11,0.09,0.08,0.06,0.05,0.06,0.13,0.05,0.05,0.06,0.14,0.08,0.06,0.04,0.03,0.06,0.12,0.05,0.05,0.06,0.14,0.08,0.06,0.04,0.04,0.06,0.14,0.05,0.05,0.06,0.14,0.08,0.06,0.04,0.03
19-Oct,2019,0.07,0.15,0.06,0.06,0.07,0.15,0.1,0.07,0.05,0.04,0.08,0.14,0.07,0.06,0.07,0.16,0.1,0.08,0.05,0.04,0.07,0.17,0.06,0.05,0.06,0.14,0.09,0.07,0.05,0.03,0.11,0.24,0.09,0.08,0.09,0.26,0.15,0.1,0.06,0.04,0.1,0.2,0.09,0.08,0.09,0.25,0.14,0.1,0.06,0.04,0.12,0.27,0.1,0.08,0.09,0.27,0.16,0.1,0.07,0.04,0.1,0.17,0.08,0.08,0.11,0.13,0.1,0.08,0.07,0.04,0.1,0.16,0.09,0.09,0.12,0.17,0.12,0.09,0.07,0.04,0.09,0.18,0.07,0.07,0.11,0.11,0.09,0.07,0.06,0.05,0.06,0.13,0.05,0.05,0.06,0.14,0.08,0.06,0.04,0.03,0.06,0.12,0.05,0.05,0.06,0.14,0.08,0.06,0.05,0.04,0.06,0.14,0.05,0.05,0.06,0.14,0.08,0.06,0.04,0.03
19-Sep,2019,0.07,0.16,0.06,0.06,0.07,0.15,0.1,0.07,0.05,0.04,0.08,0.14,0.07,0.06,0.07,0.17,0.1,0.08,0.05,0.04,0.07,0.17,0.06,0.05,0.06,0.14,0.09,0.07,0.05,0.03,0.11,0.24,0.1,0.08,0.09,0.26,0.15,0.1,0.06,0.04,0.11,0.21,0.09,0.08,0.09,0.25,0.14,0.1,0.06,0.04,0.12,0.27,0.1,0.08,0.09,0.27,0.16,0.11,0.07,0.04,0.1,0.17,0.08,0.08,0.11,0.13,0.1,0.08,0.07,0.04,0.11,0.17,0.09,0.09,0.11,0.17,0.12,0.09,0.07,0.04,0.09,0.18,0.07,0.07,0.11,0.11,0.09,0.08,0.06,0.05,0.06,0.13,0.05,0.05,0.06,0.14,0.08,0.06,0.04,0.03,0.06,0.12,0.05,0.05,0.06,0.14,0.08,0.06,0.05,0.04,0.06,0.14,0.05,0.05,0.06,0.14,0.08,0.06,0.04,0.03
19-Aug,2019,0.08,0.16,0.06,0.06,0.07,0.15,0.1,0.07,0.05,0.04,0.08,0.14,0.07,0.06,0.07,0.17,0.1,0.08,0.05,0.04,0.07,0.17,0.06,0.06,0.07,0.14,0.09,0.07,0.05,0.03,0.12,0.24,0.1,0.08,0.09,0.26,0.15,0.1,0.06,0.04,0.11,0.21,0.09,0.08,0.09,0.24,0.14,0.1,0.06,0.04,0.13,0.27,0.1,0.08,0.09,0.27,0.16,0.11,0.07,0.04,0.1,0.17,0.08,0.08,0.11,0.13,0.1,0.08,0.07,0.04,0.11,0.17,0.09,0.09,0.11,0.17,0.12,0.09,0.07,0.04,0.09,0.18,0.07,0.07,0.11,0.12,0.09,0.08,0.06,0.05,0.06,0.13,0.05,0.05,0.06,0.15,0.08,0.06,0.04,0.03,0.06,0.12,0.05,0.05,0.07,0.14,0.08,0.06,0.05,0.04,0.06,0.14,0.05,0.05,0.06,0.15,0.08,0.06,0.04,0.03
19-Jul,2019,0.08,0.16,0.06,0.06,0.07,0.15,0.1,0.07,0.05,0.04,0.08,0.14,0.07,0.06,0.07,0.17,0.1,0.08,0.05,0.04,0.07,0.17,0.06,0.06,0.07,0.14,0.09,0.07,0.05,0.03,0.12,0.24,0.1,0.08,0.1,0.26,0.15,0.11,0.06,0.04,0.11,0.21,0.09,0.08,0.1,0.24,0.14,0.1,0.06,0.04,0.13,0.27,0.1,0.08,0.09,0.28,0.16,0.11,0.06,0.04,0.1,0.17,0.08,0.08,0.12,0.13,0.1,0.08,0.07,0.04,0.11,0.17,0.09,0.09,0.12,0.17,0.12,0.09,0.08,0.04,0.09,0.18,0.07,0.07,0.11,0.11,0.09,0.08,0.06,0.05,0.06,0.13,0.05,0.05,0.06,0.15,0.08,0.06,0.04,0.04,0.06,0.12,0.05,0.05,0.07,0.15,0.08,0.06,0.04,0.04,0.06,0.14,0.05,0.05,0.06,0.15,0.08,0.06,0.04,0.03
19-Jun,2019,0.08,0.16,0.06,0.06,0.07,0.15,0.1,0.07,0.05,0.04,0.08,0.14,0.07,0.06,0.08,0.17,0.1,0.08,0.05,0.04,0.07,0.17,0.06,0.06,0.07,0.14,0.09,0.07,0.05,0.03,0.12,0.24,0.1,0.08,0.1,0.25,0.15,0.11,0.06,0.04,0.11,0.21,0.09,0.08,0.11,0.24,0.14,0.11,0.06,0.04,0.13,0.28,0.1,0.08,0.1,0.27,0.16,0.11,0.06,0.04,0.1,0.17,0.08,0.08,0.12,0.13,0.11,0.09,0.07,0.04,0.11,0.17,0.1,0.1,0.13,0.17,0.12,0.09,0.08,0.04,0.09,0.18,0.07,0.07,0.12,0.11,0.09,0.08,0.06,0.05,0.06,0.13,0.05,0.05,0.06,0.15,0.08,0.06,0.04,0.04,0.06,0.12,0.05,0.05,0.07,0.15,0.08,0.06,0.04,0.04,0.06,0.14,0.05,0.05,0.06,0.15,0.08,0.06,0.04,0.03
19-May,2019,0.08,0.16,0.06,0.06,0.07,0.15,0.1,0.07,0.05,0.04,0.08,0.14,0.07,0.06,0.08,0.17,0.1,0.08,0.05,0.04,0.07,0.17,0.06,0.06,0.07,0.14,0.09,0.07,0.05,0.03,0.12,0.24,0.1,0.08,0.1,0.26,0.15,0.11,0.06,0.04,0.11,0.21,0.09,0.08,0.11,0.23,0.14,0.11,0.06,0.04,0.13,0.28,0.1,0.09,0.09,0.28,0.16,0.11,0.06,0.05,0.1,0.17,0.08,0.08,0.12,0.14,0.11,0.09,0.07,0.04,0.11,0.17,0.1,0.1,0.13,0.17,0.12,0.09,0.08,0.04,0.09,0.18,0.07,0.07,0.12,0.12,0.09,0.08,0.06,0.05,0.06,0.13,0.05,0.05,0.06,0.15,0.08,0.06,0.04,0.04,0.06,0.12,0.05,0.05,0.07,0.15,0.08,0.06,0.04,0.04,0.06,0.14,0.05,0.05,0.06,0.15,0.08,0.06,0.04,0.03
19-Apr,2019,0.08,0.16,0.07,0.06,0.07,0.15,0.1,0.07,0.05,0.04,0.08,0.15,0.07,0.06,0.08,0.16,0.1,0.08,0.05,0.04,0.08,0.17,0.06,0.06,0.07,0.15,0.1,0.07,0.05,0.03,0.12,0.24,0.1,0.08,0.11,0.26,0.15,0.11,0.06,0.04,0.11,0.21,0.1,0.08,0.12,0.23,0.14,0.11,0.06,0.04,0.13,0.28,0.1,0.09,0.1,0.29,0.16,0.11,0.06,0.05,0.1,0.17,0.08,0.08,0.12,0.14,0.11,0.09,0.07,0.04,0.11,0.17,0.1,0.1,0.13,0.17,0.12,0.09,0.08,0.04,0.09,0.18,0.08,0.07,0.12,0.12,0.1,0.08,0.06,0.05,0.06,0.13,0.05,0.05,0.07,0.15,0.08,0.06,0.04,0.04,0.06,0.12,0.05,0.05,0.07,0.15,0.08,0.07,0.04,0.04,0.06,0.14,0.05,0.05,0.06,0.15,0.08,0.06,0.04,0.03
19-Mar,2019,0.08,0.16,0.07,0.06,0.07,0.15,0.1,0.08,0.05,0.04,0.08,0.15,0.07,0.06,0.08,0.16,0.1,0.08,0.05,0.04,0.08,0.17,0.06,0.06,0.07,0.15,0.1,0.07,0.05,0.03,0.12,0.24,0.1,0.08,0.11,0.26,0.15,0.11,0.06,0.04,0.11,0.21,0.1,0.08,0.11,0.23,0.14,0.11,0.07,0.04,0.13,0.28,0.1,0.09,0.1,0.29,0.16,0.11,0.06,0.05,0.1,0.17,0.08,0.09,0.12,0.13,0.11,0.09,0.07,0.04,0.11,0.17,0.1,0.1,0.12,0.17,0.13,0.1,0.08,0.04,0.09,0.18,0.08,0.07,0.12,0.12,0.1,0.08,0.06,0.04,0.06,0.13,0.05,0.05,0.06,0.15,0.08,0.06,0.04,0.04,0.06,0.12,0.05,0.05,0.07,0.14,0.09,0.07,0.04,0.04,0.06,0.14,0.05,0.05,0.06,0.15,0.08,0.06,0.04,0.03
19-Feb,2019,0.08,0.16,0.07,0.06,0.07,0.15,0.1,0.08,0.05,0.04,0.08,0.15,0.07,0.06,0.08,0.16,0.1,0.08,0.05,0.04,0.08,0.17,0.06,0.06,0.07,0.15,0.1,0.07,0.05,0.03,0.12,0.24,0.1,0.08,0.11,0.26,0.15,0.11,0.06,0.04,0.11,0.21,0.1,0.08,0.12,0.23,0.14,0.11,0.07,0.04,0.13,0.28,0.1,0.09,0.1,0.29,0.16,0.11,0.06,0.05,0.1,0.18,0.09,0.09,0.12,0.14,0.11,0.09,0.07,0.04,0.11,0.17,0.1,0.11,0.12,0.17,0.13,0.09,0.08,0.04,0.09,0.18,0.08,0.08,0.11,0.12,0.1,0.08,0.06,0.04,0.06,0.13,0.05,0.05,0.06,0.15,0.08,0.06,0.04,0.03,0.06,0.12,0.05,0.05,0.07,0.15,0.09,0.07,0.05,0.04,0.06,0.14,0.05,0.05,0.06,0.15,0.08,0.06,0.04,0.03
19-Jan,2019,0.08,0.16,0.07,0.06,0.07,0.16,0.1,0.08,0.05,0.04,0.08,0.15,0.07,0.06,0.08,0.16,0.11,0.08,0.05,0.04,0.08,0.17,0.06,0.06,0.07,0.15,0.1,0.07,0.05,0.03,0.12,0.24,0.1,0.08,0.12,0.26,0.15,0.11,0.06,0.05,0.11,0.2,0.1,0.08,0.13,0.23,0.15,0.11,0.07,0.04,0.13,0.27,0.11,0.09,0.11,0.3,0.16,0.11,0.06,0.05,0.1,0.18,0.09,0.09,0.12,0.14,0.11,0.09,0.07,0.04,0.11,0.17,0.1,0.11,0.13,0.17,0.13,0.1,0.09,0.04,0.09,0.18,0.08,0.08,0.11,0.12,0.1,0.08,0.06,0.04,0.06,0.13,0.05,0.05,0.07,0.15,0.08,0.06,0.04,0.03,0.06,0.12,0.06,0.05,0.07,0.15,0.09,0.07,0.05,0.04,0.06,0.14,0.05,0.05,0.06,0.15,0.08,0.06,0.04,0.03
